1,sun
2,cloud
3,rain
4,snow
5,thunder
6,typhoon
7,mist
8,sprinkle
9,aries
10,taurus
11,gemini
12,cancer
13,leo
14,virgo
15,libra
16,scorpius
17,sagittarius
18,capricornus
19,aquarius
20,fish
21,sports
22,baseball
23,golf
24,tennis
25,soccer
26,ski
27,basketball
28,motorsports
29,pocketbell
30,train
31,subway
32,bullettrain
33,car
34,rvcar
35,bus
36,ship
37,airplane
38,house
39,building
40,postoffice
41,hospital
42,bank
43,atm
44,hotel
45,24hours
46,gasstation
47,parking
48,signaler
49,toilet
50,restaurant
51,cafe
52,bar
53,beer
54,fastfood
55,boutique
56,hairsalon
57,karaoke
58,movie
59,upwardright
60,carouselpony
61,music
62,art
63,drama
64,event
65,ticket
66,smoking
67,nosmoking
68,camera
69,bag
70,book
71,ribbon
72,present
73,birthday
74,telephone
75,mobilephone
76,memo
77,tv
78,game
79,cd
80,heart
81,spade
82,diamond
83,club
84,eye
85,ear
86,rock
87,scissors
88,paper
89,downwardright
90,upwardleft
91,foot
92,shoe
93,eyeglass
94,wheelchair
95,newmoon
96,moon1
97,moon2
98,moon3
99,fullmoon
100,dog
101,cat
102,yacht
103,xmas
104,downwardleft
105,phoneto
106,mailto
107,faxto
108,info01
109,info02
110,mail
111,by-d
112,d-point
113,yen
114,free
115,id
116,key
117,enter
118,clear
119,search
120,new
121,flag
122,freedial
123,sharp
124,mobaq
125,one
126,two
127,three
128,four
129,five
130,six
131,seven
132,eight
133,nine
134,zero
135,ok
136,heart01
137,heart02
138,heart03
139,heart04
140,happy01
141,angry
142,despair
143,sad
144,wobbly
145,up
146,note
147,spa
148,cute
149,kissmark
150,shine
151,flair
152,annoy
153,punch
154,bomb
155,notes
156,down
157,sleepy
158,sign01
159,sign02
160,sign03
161,impact
162,sweat01
163,sweat02
164,dash
165,sign04
166,sign05
167,slate
168,pouch
169,pen
170,shadow
171,chair
172,night
173,soon
174,on
175,end
176,clock
1001,appli01
1002,appli02
1003,t-shirt
1004,moneybag
1005,rouge
1006,denim
1007,snowboard
1008,bell
1009,door
1010,dollar
1011,pc
1012,loveletter
1013,wrench
1014,pencil
1015,crown
1016,ring
1017,sandclock
1018,bicycle
1019,japanesetea
1020,watch
1021,think
1022,confident
1023,coldsweats01
1024,coldsweats02
1025,pout
1026,gawk
1027,lovely
1028,good
1029,bleah
1030,wink
1031,happy02
1032,bearing
1033,catface
1034,crying
1035,weep
1036,ng
1037,clip
1038,copyright
1039,tm
1040,run
1041,secret
1042,recycle
1043,r-mark
1044,danger
1045,ban
1046,empty
1047,pass
1048,full
1049,leftright
1050,updown
1051,school
1052,wave
1053,fuji
1054,clover
1055,cherry
1056,tulip
1057,banana
1058,apple
1059,bud
1060,maple
1061,cherryblossom
1062,riceball
1063,cake
1064,bottle
1065,noodle
1066,bread
1067,snail
1068,chick
1069,penguin
1070,pisces
1071,delicious
1072,smile
1073,horse
1074,pig
1075,wine
1076,shock
